adoption_id,owner_id, dog_id, adoption_date
1,623,32622,01/13/1906
2,132,30823,04/07/1995
3,6727,6419,10/29/2048
4,863,32155,10/16/2003
5,6501,27048,07/19/1935
6,2817,33390,08/07/1919
7,9544,17615,06/23/2013
8,4298,9778,09/29/1977
9,5269,4360,03/28/1928
10,2825,31103,07/19/1900
11,2386,34990,08/16/1929
12,271,6253,11/06/1945
13,5453,15981,10/23/2048
14,2213,13564,02/12/2035
15,7426,24580,02/08/1971
16,2641,19024,11/30/2056
17,2922,17965,12/27/2009
18,2779,3167,09/12/1909
19,4464,17490,08/26/1991
20,1781,38847,02/15/2037
21,8745,34081,04/11/1969
22,4090,23642,12/11/1984
23,6516,2765,10/18/2002
24,6036,28333,09/06/1938
25,8694,6781,07/07/1911
26,921,22005,08/07/1994
27,861,31477,07/02/1962
28,4906,8307,02/03/2051
29,4885,20158,07/30/1917
30,8560,14758,07/10/2019
31,9013,7423,10/15/2050
32,5867,15072,04/22/2034
33,6219,25083,06/13/1943
34,19,8942,11/28/2067
35,6277,29873,02/03/1942
36,8095,8990,11/15/2025
37,5413,13250,04/03/2011
38,4470,17719,07/15/2029
39,9939,10297,03/09/2003
40,8348,16597,06/16/2041
41,8640,28598,05/07/1916
42,903,17612,05/07/1927
43,1671,15881,08/24/2003
44,7087,39880,11/01/2005
45,6585,37655,01/14/2012
46,1890,12631,09/18/1941
47,5377,14996,02/01/1999
48,430,34041,10/13/1967
49,2526,14295,10/22/2037
50,264,36397,11/06/1954
51,388,3976,06/11/2002
52,3097,13031,02/20/2041
53,2337,39505,12/22/2070
54,7646,16761,03/06/2054
55,9114,30870,06/27/1946
56,8395,988,04/18/2063
57,6567,23179,06/30/1949
58,445,6477,07/04/2037
59,9424,39793,04/02/2030
60,1826,15665,06/22/1989
61,2845,11512,05/31/1937
62,5963,37478,04/17/1930
63,5829,15650,01/03/1981
64,8813,15645,12/19/1932
65,1906,32581,02/05/1991
66,981,34829,08/02/2051
67,5017,10635,07/09/2000
68,1242,3552,07/10/2060
69,3632,25189,01/25/2050
70,6,36965,03/24/1996
71,8293,33282,07/23/1922
72,9404,11440,06/27/1978
73,3671,33875,01/11/1925
74,6576,4179,03/15/2068
75,1016,4947,03/06/2001
76,7058,6697,04/17/1993
77,4981,26610,06/03/2046
78,8471,14518,11/26/2059
79,8987,30856,06/04/1969
80,1898,17570,10/22/1986
81,8957,35511,11/24/1931
82,677,2930,11/19/2012
83,7285,36306,07/03/2063
84,92,3931,11/13/2051
85,5953,885,09/12/2028
86,5813,20489,02/18/2053
87,1865,19006,12/24/2017
88,3672,28483,08/13/2015
89,3056,36140,09/29/1924
90,7135,13533,06/02/2024
91,8194,33001,04/12/2065
92,1279,25658,01/11/2019
93,8486,38757,06/20/2039
94,5494,36764,10/05/1908
95,7285,26397,12/24/2006
96,312,21779,05/17/1907
97,3236,15894,12/25/1988
98,4280,13096,12/02/2056
99,5324,2061,10/09/1952
100,4338,15544,03/21/1920
101,1965,27138,05/26/1915
102,6347,14125,11/09/1933
103,8923,7514,10/11/1905
104,4549,18127,05/12/1941
105,7930,2748,07/09/2050
106,7900,411,08/12/1967
107,928,7802,08/10/1995
108,6100,5702,02/23/2054
109,6748,8555,12/02/1965
110,7501,29125,09/01/2010
111,122,1774,11/16/1965
112,7023,21031,04/28/2016
113,5856,21010,01/05/1962
114,4498,38131,11/19/1900
115,1142,34824,08/10/2007
116,1328,8681,12/19/1903
117,8280,4803,03/31/2058
118,9143,38087,08/16/2040
119,3806,15560,01/21/2068
120,2341,3811,09/28/2018
121,898,7196,09/18/1958
122,8196,10989,08/26/2012
123,8325,20517,06/18/1944
124,618,11051,12/18/1973
125,6640,17036,12/28/2007
126,2782,34464,01/07/1998
127,4222,37035,10/18/2021
128,3622,37183,07/06/1970
129,8405,35623,11/21/1919
130,9041,26131,07/19/1963
131,8172,17917,11/19/1918
132,5456,26174,06/07/1974
133,4102,12860,09/02/2057
134,764,29336,04/15/1980
135,3846,27671,11/07/1956
136,3906,6043,02/11/2061
137,9098,11231,03/04/2010
138,8379,484,07/08/2021
139,3068,26239,08/22/2064
140,8104,27392,11/21/1948
141,7647,35134,08/18/2052
142,1908,22528,10/06/2032
143,364,6300,08/01/2006
144,6489,13736,09/04/1999
145,2801,12926,12/23/1910
146,411,10896,02/19/1977
147,8495,20805,10/18/2003
148,4395,32385,09/10/1985
149,7421,3489,03/13/1922
150,1463,36914,10/10/2044
151,3720,31269,06/29/1987
152,9657,30188,07/08/1957
153,6100,23429,03/07/1965
154,4915,32466,12/10/2017
155,3940,24870,07/31/2032
156,5587,38473,05/20/2016
157,4988,24678,10/11/1999
158,4421,38674,07/28/2017
159,3707,11361,03/08/1963
160,2304,11122,03/17/2005
161,8073,33415,12/09/2060
162,2464,37969,07/15/2027
163,7978,17370,03/15/2070
164,8977,35005,11/06/1997
165,8818,6136,09/19/1906
166,8626,39169,01/11/2068
167,3659,23148,02/25/1931
168,9808,33901,02/26/1961
169,6077,35918,05/01/1903
170,65,7820,12/26/1932
171,4499,9829,12/16/2070
172,5405,26608,10/25/2052
173,6424,6362,11/22/1901
174,6416,16437,10/04/2046
175,8229,12298,01/02/2000
176,3084,34551,11/09/2059
177,2779,3953,05/15/2055
178,3822,22137,03/17/1957
179,7167,22663,04/23/2033
180,1394,7939,06/25/1988
181,857,36675,03/13/1965
182,6375,1882,10/20/1900
183,2264,19412,03/21/1986
184,5311,17905,11/29/1979
185,747,30782,10/18/1998
186,7337,15371,10/12/2032
187,8662,16077,03/16/2019
188,3978,514,07/24/2055
189,665,6664,08/18/1974
190,9420,17718,02/08/1989
191,2510,11741,02/14/1998
192,5650,21809,09/16/1938
193,4910,33035,12/30/1980
194,4430,27420,09/13/2060
195,4411,7394,11/01/1920
196,3100,30514,03/22/2007
197,818,15486,03/25/1942
198,275,31289,08/02/2052
199,7340,38174,12/13/2062
200,8894,33041,08/31/1913
201,3626,2220,11/01/2060
202,3103,3398,02/22/2012
203,7721,1269,12/14/2023
204,6864,19098,09/21/2036
205,2472,39192,09/26/2025
206,7352,20039,07/23/2045
207,5272,28997,10/20/1998
208,1667,18764,01/02/1963
209,8582,13504,11/09/1977
210,3704,26723,03/21/1904
211,1532,27319,07/16/1952
212,7815,25485,07/10/2054
213,2761,703,07/21/1967
214,7180,17145,08/14/2048
215,1425,28649,08/08/1908
216,2970,24132,12/27/2029
217,7270,32130,07/26/2018
218,9792,21855,04/02/1904
219,9271,6708,08/20/1960
220,2425,22079,07/27/2017
221,2243,15131,12/15/1942
222,6781,26915,03/01/1929
223,5185,24777,04/28/2048
224,9808,23399,03/21/1945
225,165,195,05/20/1983
226,4424,11125,05/21/1935
227,8135,8384,04/26/1903
228,5881,39956,02/17/2002
229,2759,17964,06/19/2016
230,2815,28885,08/20/1928
231,7887,33697,04/29/2070
232,9129,9810,12/17/1995
233,8989,6815,01/14/2041
234,213,17982,04/13/1999
235,1364,16972,04/30/2017
236,159,31218,06/26/1993
237,167,14875,03/08/1988
238,3237,17838,10/02/1988
239,1225,10147,09/26/2038
240,5162,30794,12/16/1915
241,397,27790,04/05/1933
242,6666,15450,08/07/2060
243,3311,18560,01/08/2033
244,8519,9523,09/01/2022
245,9067,11595,09/03/1963
246,3715,15160,01/31/1928
247,5177,17520,01/17/2015
248,9259,39108,10/22/2063
249,2170,11162,04/03/2031
250,1622,38327,02/01/2003
251,2076,5100,06/15/1995
252,1392,4139,08/21/1976
253,2611,5483,06/29/2014
254,3055,18424,12/15/1915
255,8005,37814,07/27/1934
256,9794,37751,06/18/1987
257,3898,961,02/19/1904
258,4953,25455,03/24/1944
259,6428,39222,10/29/1925
260,4471,8712,06/07/2037
261,3733,1490,10/25/2063
262,3020,8489,03/30/1914
263,4733,950,02/02/2048
264,3467,21451,10/30/2011
265,9667,33770,10/11/2027
266,2787,18209,03/04/2004
267,1668,36819,09/25/2049
268,9317,11950,04/24/1999
269,8081,12496,10/23/1968
270,6637,16398,06/22/2055
271,5634,33858,10/31/1916
272,7108,11929,01/24/1939
273,8650,13838,05/14/2041
274,8433,22630,02/24/2006
275,1133,1999,03/14/2042
276,2455,9912,12/18/1956
277,2298,18125,07/14/1980
278,5658,32968,02/03/2070
279,3384,20632,04/25/1965
280,9845,4832,11/25/1986
