adoption_id, owner_id, dog_id,adoption_date
1,55,31308,11/18/2068
2,93,13476,01/22/2008
3,2,19220,04/27/1992
4,84,33769,05/27/2047
5,77,32602,08/13/1970
6,43,12997,12/22/1965
7,120,13579,02/07/1906
8,69,29361,03/26/1934
9,44,12079,09/23/1909
10,78,35012,11/12/1927
11,28,36381,05/09/1941
12,74,32028,02/10/2023
13,110,19997,11/28/1915
14,111,14252,05/04/1967
15,89,23182,02/17/1941
16,79,20393,06/01/1977
17,42,39435,04/27/2064
18,43,26126,09/13/2039
19,88,5054,02/09/2030
20,71,25902,03/01/1900
21,39,39912,12/11/1985
22,99,39304,06/07/2061
23,89,28204,09/27/2040
24,32,11116,06/21/1972
25,29,4200,07/20/1954
26,27,38110,01/19/1952
27,53,7316,01/10/2018
28,74,1939,01/14/1995
29,37,30445,05/02/1935
30,85,9409,10/05/2052
31,54,24518,09/14/1990
32,24,29993,03/04/1919
33,18,3943,10/20/2028
34,21,7343,04/04/2053
35,86,10203,11/17/2041
36,81,33705,09/29/1928
37,54,1353,07/03/1956
38,77,19766,12/08/2035
39,88,24330,03/31/2014
40,74,27951,01/10/1981
41,81,30710,10/01/2014
42,90,14249,05/09/1978
43,51,32044,02/26/1950
44,96,11654,07/14/2041
45,16,17872,08/14/1984
46,118,30852,05/04/2069
47,115,10872,09/21/2006
48,69,4452,11/16/2060
49,102,90,12/12/1940
50,116,7234,11/16/2038
51,61,7455,06/22/1906
52,62,33147,08/24/1990
53,55,36168,06/06/1950
54,83,22649,01/20/1916
55,80,2896,05/13/2012
56,84,30270,03/31/2007
57,74,31348,07/10/2016
58,14,6424,09/18/2011
59,27,7037,11/14/2045
60,114,11018,09/06/2016
61,50,9138,05/21/2005
62,4,20698,03/09/2052
63,18,31448,09/15/1987
64,96,13460,05/04/2025
65,117,27495,03/09/1938
66,77,26201,11/05/2037
67,118,891,09/20/1980
68,82,31107,07/11/1935
69,18,30540,09/02/1905
70,16,30478,10/25/2053
71,38,13164,12/18/2067
72,60,14360,04/04/2050
73,58,4938,03/10/1999
74,118,17376,04/21/1973
75,6,15727,12/25/2017
76,73,35208,04/26/2051
77,42,7020,08/09/1900
78,27,9325,09/08/1915
79,95,11688,12/29/1942
80,104,14121,06/08/2009
81,28,37272,04/01/2021
82,108,5928,03/17/1946
83,109,30668,11/18/2064
84,93,38468,07/27/1923
85,28,31855,12/11/2043
86,119,21059,10/15/1950
87,102,34716,12/16/1970
88,102,13158,09/08/1911
89,33,5745,08/06/1944
90,47,10439,05/08/1957
91,68,29494,02/24/1935
92,39,17465,02/04/2058
93,16,37185,11/18/1986
94,53,4191,10/21/1900
95,16,5337,08/05/2035
96,65,35899,01/09/2046
97,32,2235,10/27/2045
98,31,2385,05/17/1988
99,20,20081,02/20/1973
100,88,16564,09/29/1913
101,92,16515,02/12/1965
102,116,16471,12/12/1900
103,43,39007,09/20/1976
104,74,24459,10/23/1978
105,40,10358,05/27/2065
106,2,12858,05/16/2017
107,47,37183,10/16/1958
108,115,20348,11/06/1976
109,71,5569,09/30/2007
110,80,15119,07/16/1939
111,1,987,09/11/1928
112,53,987,05/23/2003
113,101,35025,05/08/1939
114,50,4514,01/02/1998
115,54,16009,08/13/1938
116,12,29579,08/09/1913
117,3,7729,07/21/2024
118,16,30844,08/26/2034
119,4,35061,04/11/1913
120,103,28367,12/13/1906
121,30,33392,07/05/1910
122,93,34912,03/02/1989
123,55,19473,05/22/2042
124,45,20807,06/28/1951
125,77,22899,06/17/2056
126,36,33118,07/13/2070
127,37,67,04/05/2024
128,86,27758,04/17/1937
129,80,22171,05/15/2002
130,105,19051,01/17/1910
131,103,35530,06/12/2065
132,104,27486,12/17/2023
133,34,1213,04/27/2001
134,117,12433,01/22/1996
135,61,29952,09/16/2001
136,2,5254,06/28/2034
137,51,4744,03/16/1926
138,63,376,08/09/2061
139,47,6988,06/01/2003
140,26,30235,05/08/2045
141,110,21143,01/09/1960
142,19,24019,08/10/1969
143,108,8015,01/06/2024
144,56,38185,11/14/1935
145,105,32672,07/30/2030
146,77,31426,11/23/1919
147,85,17585,11/21/2016
148,56,9813,04/14/2054
149,94,555,08/31/1959
150,48,14129,03/23/1981
151,27,6880,06/13/1970
152,86,36653,05/27/1980
153,103,21068,08/08/1991
154,21,30672,11/23/2068
155,81,39319,03/31/1908
156,40,27986,09/15/2050
157,99,21892,07/08/2002
158,19,36500,07/11/1922
159,107,14762,03/18/1968
160,46,3834,07/11/1969
161,107,35351,08/08/1932
162,99,12917,04/05/1999
163,26,17402,08/21/1983
164,65,7352,10/02/2051
165,88,37477,01/29/1992
166,104,19116,11/10/2002
167,115,31902,04/07/2030
168,51,38059,03/02/1937
169,64,16469,03/26/1991
170,87,7074,01/28/2035
171,58,21771,01/03/1993
172,103,29220,06/07/1923
